Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,7.650000,7.730000,7.170000,7.700000,7.700000,30158000
2023-03-30,7.770000,7.880000,7.600000,7.620000,7.620000,11085700
2023-03-31,7.680000,8.200000,7.565000,8.040000,8.040000,19553600
2023-04-03,7.950000,8.058000,7.645000,7.900000,7.900000,12010100
2023-04-04,7.930000,8.000000,7.650000,7.900000,7.900000,11125800
2023-04-05,7.780000,7.790000,7.520000,7.700000,7.700000,10999800
2023-04-06,7.630000,7.870000,7.481000,7.700000,7.700000,8154600
2023-04-10,7.600000,8.070000,7.430000,8.030000,8.030000,11520900
2023-04-11,8.080000,8.685000,8.060000,8.460000,8.460000,20643700
2023-04-12,8.640000,8.870000,8.060000,8.130000,8.130000,14102300
2023-04-13,8.170000,8.380000,8.160000,8.250000,8.250000,10570600
2023-04-14,7.670000,7.765000,7.450000,7.730000,7.730000,30486200
2023-04-17,7.730000,7.965000,7.585000,7.950000,7.950000,13650500
2023-04-18,8.020000,8.080000,7.750000,7.830000,7.830000,10167400
2023-04-19,7.650000,7.700000,7.480000,7.620000,7.620000,16219500
2023-04-20,7.331000,7.530000,7.031000,7.070000,7.070000,22642300
2023-04-21,7.130000,7.130000,6.860000,7.030000,7.030000,13171900
2023-04-24,7.040000,7.220000,6.960000,7.000000,7.000000,10872300
2023-04-25,6.910000,6.960000,6.635000,6.740000,6.740000,17767700
2023-04-26,6.840000,7.840000,6.730000,7.220000,7.220000,33362500
2023-04-27,7.340000,8.280000,7.330000,8.170000,8.170000,33947100
2023-04-28,7.950000,8.070000,7.749000,7.940000,7.940000,15816400
2023-05-01,7.940000,7.940000,7.290000,7.320000,7.320000,15072500
2023-05-02,7.360000,7.430000,7.100000,7.270000,7.270000,13079600
2023-05-03,7.270000,7.650000,7.205000,7.410000,7.410000,12392100
2023-05-04,7.465000,7.540000,7.255000,7.380000,7.380000,9703700
2023-05-05,7.500000,7.820000,7.460000,7.730000,7.730000,16456500
2023-05-08,7.750000,7.800000,7.260000,7.710000,7.710000,29869400
2023-05-09,6.910000,7.350000,6.850000,7.280000,7.280000,29222500
2023-05-10,7.365000,7.460000,7.150000,7.160000,7.160000,18580400
2023-05-11,7.160000,7.290000,6.950000,7.060000,7.060000,15402300
2023-05-12,7.090000,7.178000,6.890000,7.040000,7.040000,14018100
2023-05-15,7.080000,7.190000,6.952000,7.170000,7.170000,11608800
2023-05-16,7.100000,7.180000,6.970000,6.980000,6.980000,11197100
